Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Remarks,Highest-From-Entry-To-Exit,Lowest-From-Entry-To-Exit
12.1,16-01-2018,Tuesday,09:25:00,104.85,15,CE,26000,Sell,16-01-2018,Tuesday,15:19:00,71.05,507,32.23652837,18-01-2018,Exit Condition Met For Trade,117.9,62.5
12.2,16-01-2018,Tuesday,09:25:00,103.25,15,PE,26000,Sell,16-01-2018,Tuesday,15:19:00,107.95,-70.5,-4.552058111,18-01-2018,Exit Condition Met For Trade,133.5,86
13,17-01-2018,,09:25:00,26029.85,,,,,17-01-2018,,15:19:00,26304.35,557.25,,,Exit Condition Met For Trade,26323.65,25922.3
13.1,17-01-2018,Wednesday,09:25:00,65.75,15,CE,26000,Sell,17-01-2018,Wednesday,13:49:00,113.75,-720,-73.00380228,18-01-2018,Stop Loss Hit,114.9,37.9
13.2,17-01-2018,Wednesday,09:25:00,94,15,PE,26000,Sell,17-01-2018,Wednesday,15:19:00,8.85,1277.25,90.58510638,18-01-2018,Exit Condition Met For Trade,138.9,7.65
14,18-01-2018,,09:25:00,26696.3,,,,,18-01-2018,,14:38:00,26615.05,-810,,,,26848.95,26584.65
14.1,18-01-2018,Thursday,09:25:00,43.5,15,CE,26700,Sell,18-01-2018,Thursday,09:35:00,118.5,-1125,-172.4137931,18-01-2018,Stop Loss Hit,119.55,43.25
14.2,18-01-2018,Thursday,09:25:00,105.4,15,PE,26700,Sell,18-01-2018,Thursday,14:38:00,84.4,315,19.92409867,18-01-2018,Stop Loss Hit,105.4,9
15,19-01-2018,,09:25:00,26575,,,,,19-01-2018,,09:58:00,26606.65,-1575,,,,26623.9,26433.55
15.1,19-01-2018,Friday,09:25:00,125.2,15,CE,26600,Sell,19-01-2018,Friday,09:58:00,171.2,-690,-36.74121406,25-01-2018,Stop Loss Hit,176,95.25
15.2,19-01-2018,Friday,09:25:00,185.1,15,PE,26600,Sell,19-01-2018,Friday,09:43:00,244.1,-885,-31.87466234,25-01-2018,Stop Loss Hit,252.15,168.6
16,22-01-2018,,09:25:00,26891.55,,,,,22-01-2018,,15:19:00,27042.65,-132,,,Exit Condition Met For Trade,27074.9,26875.7
16.1,22-01-2018,Monday,09:25:00,144.5,15,CE,26900,Sell,22-01-2018,Monday,10:02:00,219.5,-1125,-51.90311419,25-01-2018,Stop Loss Hit,223.25,143.9
16.2,22-01-2018,Monday,09:25:00,193.2,15,PE,26900,Sell,22-01-2018,Monday,15:19:00,127,993,34.26501035,25-01-2018,Exit Condition Met For Trade,219.15,119.2
17,23-01-2018,,09:25:00,27135.05,,,,,23-01-2018,,15:19:00,27420.4,1107,,,Exit Condition Met For Trade,27421.6,27101.3
